Frequency (Hz)	Level (dB)
2666.015625	-35.814362
2671.875000	-39.782078
2677.734375	-39.525665
2683.593750	-37.783508
2689.453125	-42.762871
2695.312500	-55.840443
2701.171875	-57.127819
2707.031250	-60.180710
2712.890625	-60.960346
2718.750000	-60.192478
2724.609375	-60.024887
2730.468750	-60.305202
2736.328125	-61.891010
2742.187500	-62.982758
2748.046875	-65.298828
2753.906250	-66.051445
2759.765625	-67.927666
2765.625000	-68.447540
2771.484375	-68.826355
2777.343750	-69.775185
2783.203125	-71.172783
2789.062500	-71.280006
2794.921875	-72.644806
2800.781250	-70.664169
2806.640625	-69.874786
2812.500000	-71.009163
2818.359375	-72.443687
2824.218750	-72.384705
2830.078125	-70.839149
2835.937500	-69.747223
2841.796875	-70.025406
2847.656250	-70.585320
2853.515625	-71.914833
2859.375000	-74.981697
2865.234375	-78.456322
2871.093750	-79.495750
2876.953125	-79.368698
2882.812500	-77.100334
2888.671875	-76.137665
2894.531250	-75.153404
2900.390625	-77.463516
2906.250000	-79.790672
2912.109375	-78.472061
2917.968750	-76.429443
2923.828125	-76.143280
2929.687500	-77.621536
2935.546875	-80.673325
2941.406250	-83.091988
2947.265625	-77.154869
2953.125000	-73.780823
2958.984375	-73.961761
2964.843750	-74.739563
2970.703125	-72.362999
2976.562500	-72.112587
2982.421875	-72.376923
2988.281250	-71.513283
2994.140625	-71.826584
3000.000000	-71.971024
3005.859375	-74.674812
3011.718750	-73.907867
3017.578125	-69.700798
3023.437500	-68.971100
3029.296875	-71.907410
3035.156250	-73.425941
3041.015625	-73.817200
3046.875000	-76.626579
3052.734375	-76.845459
3058.593750	-73.537018
3064.453125	-71.880432
3070.312500	-69.039436
3076.171875	-64.079193
3082.031250	-59.394604
3087.890625	-55.974545
3093.750000	-43.089703
3099.609375	-38.816711
3105.468750	-40.046062
3111.328125	-46.967552
3117.187500	-50.986736
3123.046875	-49.903790
3128.906250	-46.320614
3134.765625	-47.513577
3140.625000	-56.005062
3146.484375	-61.767361
3152.343750	-62.981964
3158.203125	-63.727222
3164.062500	-62.442566
3169.921875	-61.237885
3175.781250	-60.963810
3181.640625	-62.600323
3187.500000	-64.158829
3193.359375	-64.831734
3199.218750	-64.140129
3205.078125	-64.785439
3210.937500	-65.094475
3216.796875	-66.134979
3222.656250	-67.096031
3228.515625	-67.477280
3234.375000	-68.322510
3240.234375	-67.457802
3246.093750	-66.394295
3251.953125	-67.578140
3257.812500	-68.027657
3263.671875	-68.681549
3269.531250	-69.991661
3275.390625	-67.243629
3281.250000	-63.515785
3287.109375	-61.468258
3292.968750	-61.121456
3298.828125	-62.616367
3304.687500	-68.509773
3310.546875	-71.301781
3316.406250	-64.019806
3322.265625	-62.924488
3328.125000	-62.409298
3333.984375	-62.440182
3339.843750	-62.374096
3345.703125	-62.317944
3351.562500	-61.006248
3357.421875	-62.766556
3363.281250	-70.708702
3369.140625	-73.383385
3375.000000	-73.135612
3380.859375	-74.804520
3386.718750	-75.531158
3392.578125	-76.165985
3398.437500	-74.430832
3404.296875	-73.635918
3410.156250	-73.401711
3416.015625	-71.578377
3421.875000	-67.726715
3427.734375	-66.978859
3433.593750	-65.033897
3439.453125	-65.656845
3445.312500	-67.501137
3451.171875	-67.851364
3457.031250	-67.382362
3462.890625	-67.933273
3468.750000	-69.913788
3474.609375	-70.043724
3480.468750	-66.857887
3486.328125	-64.917412
3492.187500	-66.646454
3498.046875	-68.056999
3503.906250	-67.717896
3509.765625	-65.470360
3515.625000	-63.621723
3521.484375	-61.538628
3527.343750	-58.444843
3533.203125	-48.547768
3539.062500	-41.859875
3544.921875	-42.759403
3550.781250	-46.301888
3556.640625	-50.381321
3562.500000	-51.719147
3568.359375	-51.955460
3574.218750	-49.194729
3580.078125	-47.844368
3585.937500	-53.322514
3591.796875	-63.789299
3597.656250	-67.699776
3603.515625	-68.979256
3609.375000	-69.272377
3615.234375	-69.818489
3621.093750	-70.535179
3626.953125	-71.925529
3632.812500	-72.060989
3638.671875	-75.113144
3644.531250	-78.270432
3650.390625	-76.964088
3656.250000	-73.835030
3662.109375	-72.446808
3667.968750	-69.954124
3673.828125	-67.259735
3679.687500	-66.188972
3685.546875	-65.476753
3691.406250	-63.833542
3697.265625	-63.009716
3703.125000	-64.625473
3708.984375	-65.501076
3714.843750	-66.141518
3720.703125	-67.704933
3726.562500	-67.846710
3732.421875	-66.937889
3738.281250	-66.360832
3744.140625	-66.171494
3750.000000	-64.294571
3755.859375	-63.722931
3761.718750	-63.937107
3767.578125	-65.492516
3773.437500	-65.492226
3779.296875	-64.257133
3785.156250	-64.964691
3791.015625	-69.602280
3796.875000	-68.003464
3802.734375	-68.378197
3808.593750	-70.635086
3814.453125	-71.681770
3820.312500	-75.430023
3826.171875	-77.108337
3832.031250	-77.541611
3837.890625	-76.029503
3843.750000	-72.556625
3849.609375	-71.988152
3855.468750	-70.977570
3861.328125	-70.587639
3867.187500	-71.625160
3873.046875	-74.088013
3878.906250	-74.527634
3884.765625	-75.111649
3890.625000	-73.875290
3896.484375	-71.834679
3902.343750	-71.265701
3908.203125	-73.095940
3914.062500	-74.022629
3919.921875	-74.756561
3925.781250	-72.489616
3931.640625	-71.345467
3937.500000	-71.757622
3943.359375	-71.294197
3949.218750	-70.785233
3955.078125	-68.892258
3960.937500	-67.301796
3966.796875	-67.816925
3972.656250	-56.664276
3978.515625	-44.307598
3984.375000	-40.819691
3990.234375	-41.395699
3996.093750	-43.080536
4001.953125	-46.731415
4007.812500	-50.401489
4013.671875	-52.238590
4019.531250	-52.988670
4025.390625	-50.989483
4031.250000	-54.613800
4037.109375	-65.042336
4042.968750	-67.947067
4048.828125	-70.231468
4054.687500	-72.010750
4060.546875	-72.267708
4066.406250	-74.220428
4072.265625	-77.656189
4078.125000	-77.710617
4083.984375	-78.328873
4089.843750	-79.985207
4095.703125	-82.195015
4101.562500	-86.060104
4107.421875	-84.252922
4113.281250	-82.385979
4119.140625	-80.720963
4125.000000	-78.103218
4130.859375	-75.761627
4136.718750	-75.731842
4142.578125	-77.027245
4148.437500	-79.455681
4154.296875	-78.497803
4160.156250	-79.219978
4166.015625	-79.692886
4171.875000	-77.558517
4177.734375	-76.619560
4183.593750	-76.985924
4189.453125	-77.660393
4195.312500	-78.008888
4201.171875	-79.464096
4207.031250	-79.847015
4212.890625	-79.632996
4218.750000	-79.456467
4224.609375	-79.915604
4230.468750	-82.288452
4236.328125	-82.473579
4242.187500	-81.844521
4248.046875	-83.636246
4253.906250	-87.975136
4259.765625	-86.868660
4265.625000	-83.809944
4271.484375	-81.499062
4277.343750	-82.358559
4283.203125	-80.432289
4289.062500	-79.671165
4294.921875	-79.446167
4300.781250	-79.839226
4306.640625	-80.409615
4312.500000	-79.613548
4318.359375	-81.531479
4324.218750	-82.585732
4330.078125	-83.254265
4335.937500	-83.087143
4341.796875	-84.424080
4347.656250	-85.379379
4353.515625	-86.451546
4359.375000	-84.374947
4365.234375	-81.589195
4371.093750	-79.960884
4376.953125	-79.764687
4382.812500	-81.487183
4388.671875	-79.233864
4394.531250	-75.699707
4400.390625	-71.162926
4406.250000	-68.195076
4412.109375	-65.183357
4417.968750	-55.289375
4423.828125	-47.853119
4429.687500	-45.425098
4435.546875	-43.378281
4441.406250	-47.322380
4447.265625	-51.625130
4453.125000	-53.841377
4458.984375	-55.957668
4464.843750	-59.840137
4470.703125	-59.449348
4476.562500	-60.766682
4482.421875	-67.834206
4488.281250	-71.367859
4494.140625	-71.119514
4500.000000	-71.331650
4505.859375	-73.731239
4511.718750	-76.704956
4517.578125	-78.043709
4523.437500	-78.216415
4529.296875	-79.824158
4535.156250	-80.406616
4541.015625	-80.301476
4546.875000	-80.370811
4552.734375	-79.585670
4558.593750	-78.302681
4564.453125	-79.826508
4570.312500	-81.385933
4576.171875	-84.121094
4582.031250	-88.893837
4587.890625	-90.987259
4593.750000	-87.268311
4599.609375	-83.806389
4605.468750	-82.960152
4611.328125	-84.205658
4617.187500	-84.977051
4623.046875	-86.092102
4628.906250	-86.367805
4634.765625	-83.139465
4640.625000	-82.471146
4646.484375	-84.100716
4652.343750	-86.008446
4658.203125	-88.295135
4664.062500	-88.970848
4669.921875	-87.276993
4675.781250	-86.833412
4681.640625	-88.179474
4687.500000	-91.473328
4693.359375	-91.098618
4699.218750	-89.830856
4705.078125	-90.145050
4710.937500	-91.145882
4716.796875	-90.257874
4722.656250	-92.215279
4728.515625	-92.672501
4734.375000	-91.966774
4740.234375	-88.319794
4746.093750	-88.065422
4751.953125	-88.126060
4757.812500	-87.181381
4763.671875	-87.355881
4769.531250	-90.937889
4775.390625	-90.216980
4781.250000	-88.795547
4787.109375	-88.241219
4792.968750	-85.707802
4798.828125	-83.989288
4804.687500	-82.030685
4810.546875	-79.219749
4816.406250	-77.597748
4822.265625	-77.360817
4828.125000	-77.701515
4833.984375	-76.815521
4839.843750	-76.708733
4845.703125	-73.737358
4851.562500	-70.297066
4857.421875	-64.734756
4863.281250	-54.156307
4869.140625	-50.010586
4875.000000	-48.015099
4880.859375	-47.945393
4886.718750	-54.952682
4892.578125	-60.255768
4898.437500	-62.875050
4904.296875	-63.650185
4910.156250	-65.833450
4916.015625	-61.629299
4921.875000	-60.547806
4927.734375	-66.089958
4933.593750	-75.430008
4939.453125	-77.771416
4945.312500	-82.046097
4951.171875	-87.206039
4957.031250	-86.055237
4962.890625	-84.718147
4968.750000	-84.387917
4974.609375	-85.918419
4980.468750	-86.418335
4986.328125	-87.208549
4992.187500	-89.215332
4998.046875	-87.890289
5003.906250	-86.739838
5009.765625	-86.723511
5015.625000	-84.825638
5021.484375	-85.298820
5027.343750	-85.979362
5033.203125	-86.367668
5039.062500	-86.780869
5044.921875	-86.143394
5050.781250	-84.319603
5056.640625	-85.895775
5062.500000	-87.988464
5068.359375	-86.220642
5074.218750	-86.328918
5080.078125	-89.154602
5085.937500	-90.949486
5091.796875	-89.692406
5097.656250	-88.720230
5103.515625	-87.806244
5109.375000	-86.656441
5115.234375	-87.879227
5121.093750	-89.529518
5126.953125	-89.366776
5132.812500	-87.648544
