Frequency (Hz)	Level (dB)
3079.248047	-62.152557
3084.631348	-51.472565
3090.014648	-47.712105
3095.397949	-42.753506
3100.781250	-40.224056
3106.164551	-41.599182
3111.547852	-49.164131
3116.931152	-65.621605
3122.314453	-71.207573
3127.697754	-70.514877
3133.081055	-71.204277
3138.464355	-72.633827
3143.847656	-70.524086
3149.230957	-70.326019
3154.614258	-71.833893
3159.997559	-72.984787
3165.380859	-71.104668
3170.764160	-72.569618
3176.147461	-74.062576
3181.530762	-73.535896
3186.914062	-73.072433
3192.297363	-72.630341
3197.680664	-72.861557
3203.063965	-73.137726
3208.447266	-73.449303
3213.830566	-73.697205
3219.213867	-74.314369
3224.597168	-72.747375
3229.980469	-72.292412
3235.363770	-72.132462
3240.747070	-69.624306
3246.130371	-70.075760
3251.513672	-73.266663
3256.896973	-71.450829
3262.280273	-69.990044
3267.663574	-69.249023
3273.046875	-69.325317
3278.430176	-71.444756
3283.813477	-73.834236
3289.196777	-74.441010
3294.580078	-71.539429
3299.963379	-70.005615
3305.346680	-69.984856
3310.729980	-70.551865
3316.113281	-71.323730
3321.496582	-70.502220
3326.879883	-69.372787
3332.263184	-69.947945
3337.646484	-71.008408
3343.029785	-70.406769
3348.413086	-70.522903
3353.796387	-73.026749
3359.179688	-73.613358
3364.562988	-74.919159
3369.946289	-73.418999
3375.329590	-73.008537
3380.712891	-73.351608
3386.096191	-72.140518
3391.479492	-70.200897
3396.862793	-70.895042
3402.246094	-73.969643
3407.629395	-74.797012
3413.012695	-74.170486
3418.395996	-73.459686
3423.779297	-74.164513
3429.162598	-74.653038
3434.545898	-75.867981
3439.929199	-73.165352
3445.312500	-73.591148
3450.695801	-75.417923
3456.079102	-73.999352
3461.462402	-74.891899
3466.845703	-76.430763
3472.229004	-74.343292
3477.612305	-75.187767
3482.995605	-75.870941
3488.378906	-75.446899
3493.762207	-73.741829
3499.145508	-72.464218
3504.528809	-72.823212
3509.912109	-73.396141
3515.295410	-67.429054
3520.678711	-55.870693
3526.062012	-48.029839
3531.445312	-47.654839
3536.828613	-47.806995
3542.211914	-45.746799
3547.595215	-43.725517
3552.978516	-46.516701
3558.361816	-60.238449
3563.745117	-72.698257
3569.128418	-74.143486
3574.511719	-74.741302
3579.895020	-74.572945
3585.278320	-72.775253
3590.661621	-72.685654
3596.044922	-73.736481
3601.428223	-74.991615
3606.811523	-75.085045
3612.194824	-76.936615
3617.578125	-77.053062
3622.961426	-77.101242
3628.344727	-78.442001
3633.728027	-77.417778
3639.111328	-77.801628
3644.494629	-77.645866
3649.877930	-76.170189
3655.261230	-78.364670
3660.644531	-77.071556
3666.027832	-76.042313
3671.411133	-76.204475
3676.794434	-77.427971
3682.177734	-79.275826
3687.561035	-77.916145
3692.944336	-78.980934
3698.327637	-78.622322
3703.710938	-76.912773
3709.094238	-75.388176
3714.477539	-75.714340
3719.860840	-77.012527
3725.244141	-79.200943
3730.627441	-78.885170
3736.010742	-77.074486
3741.394043	-76.824760
3746.777344	-77.817886
3752.160645	-75.849159
3757.543945	-74.709709
3762.927246	-73.034996
3768.310547	-71.064102
3773.693848	-70.855560
3779.077148	-73.291786
3784.460449	-74.684013
3789.843750	-75.996857
3795.227051	-76.757477
3800.610352	-78.222397
3805.993652	-78.807404
3811.376953	-77.330635
3816.760254	-74.731606
3822.143555	-76.421608
3827.526855	-77.742767
3832.910156	-78.851959
3838.293457	-76.730026
3843.676758	-75.839302
3849.060059	-76.068108
3854.443359	-75.776253
3859.826660	-76.820114
3865.209961	-77.010803
3870.593262	-77.352097
3875.976562	-79.376053
3881.359863	-81.213478
3886.743164	-81.533386
3892.126465	-81.715584
3897.509766	-81.501205
3902.893066	-81.691475
3908.276367	-82.531113
3913.659668	-82.589676
3919.042969	-80.713348
3924.426270	-82.107903
3929.809570	-81.498856
3935.192871	-79.095734
3940.576172	-81.754105
3945.959473	-79.716515
3951.342773	-77.197655
3956.726074	-69.744827
