Frequency (Hz)	Level (dB)
14625.000000	-84.850067
14671.875000	-76.406494
14718.750000	-73.416618
14765.625000	-77.992920
14812.500000	-86.322891
14859.375000	-88.082375
14906.250000	-87.797424
14953.125000	-87.302551
15000.000000	-87.323898
15046.875000	-87.504517
15093.750000	-88.020081
15140.625000	-87.922012
15187.500000	-87.628807
15234.375000	-84.420502
15281.250000	-86.130119
15328.125000	-89.784073
15375.000000	-88.849953
15421.875000	-89.345932
15468.750000	-90.292480
15515.625000	-90.194405
15562.500000	-89.341393
15609.375000	-89.490097
15656.250000	-89.760269
15703.125000	-86.513641
15750.000000	-80.680061
15796.875000	-79.184555
15843.750000	-84.334328
15890.625000	-90.571281
15937.500000	-91.131630
15984.375000	-91.570946
16031.250000	-92.410286
16078.125000	-92.360291
16125.000000	-91.709534
16171.875000	-91.906441
16218.750000	-89.172318
16265.625000	-82.637825
16312.500000	-82.557770
16359.375000	-89.272926
16406.250000	-91.981209
16453.125000	-92.362183
16500.000000	-93.483063
16546.875000	-93.608627
16593.750000	-94.196838
16640.625000	-92.850822
16687.500000	-92.559052
16734.375000	-91.395264
16781.250000	-84.976494
16828.125000	-83.060074
16875.000000	-88.070282
16921.875000	-90.625198
16968.750000	-90.711861
17015.625000	-91.109306
17062.500000	-91.323128
17109.375000	-92.519684
17156.250000	-92.873138
17203.125000	-92.926308
17250.000000	-93.011673
17296.875000	-88.899307
17343.750000	-86.645126
17390.625000	-88.788177
17437.500000	-94.524765
17484.375000	-96.580269
17531.250000	-98.077232
17578.125000	-98.232750
17625.000000	-99.263954
17671.875000	-99.039032
17718.750000	-98.570160
17765.625000	-98.622215
17812.500000	-95.735085
17859.375000	-92.180328
17906.250000	-92.029861
17953.125000	-96.634163
18000.000000	-98.527145
18046.875000	-98.277435
18093.750000	-97.461632
18140.625000	-97.627899
18187.500000	-97.321518
18234.375000	-97.549553
18281.250000	-96.450165
18328.125000	-92.423233
18375.000000	-87.409737
18421.875000	-87.508453
18468.750000	-92.981209
18515.625000	-96.781761
18562.500000	-97.097740
18609.375000	-97.223549
18656.250000	-97.591202
18703.125000	-96.846008
18750.000000	-95.723541
18796.875000	-95.225266
18843.750000	-93.231033
18890.625000	-88.575912
18937.500000	-88.297676
18984.375000	-92.339012
19031.250000	-93.897179
19078.125000	-94.294640
19125.000000	-94.714165
19171.875000	-95.952240
19218.750000	-96.890999
19265.625000	-97.396416
19312.500000	-97.549927
19359.375000	-96.251015
19406.250000	-91.043091
19453.125000	-88.779205
19500.000000	-93.815552
19546.875000	-100.197823
