Frequency (Hz)	Level (dB)
2379.418945	-77.450279
2384.802246	-82.622040
2390.185547	-77.108246
2395.568848	-80.540794
2400.952148	-92.628395
2406.335449	-93.581810
2411.718750	-81.489319
2417.102051	-82.270363
2422.485352	-86.218353
2427.868652	-95.405060
2433.251953	-89.362526
2438.635254	-82.904533
2444.018555	-76.729263
2449.401855	-76.849571
2454.785156	-80.784836
2460.168457	-77.780823
2465.551758	-73.476456
2470.935059	-75.580620
2476.318359	-75.749023
2481.701660	-76.195732
2487.084961	-79.918701
2492.468262	-81.934074
2497.851562	-83.646782
2503.234863	-78.539291
2508.618164	-74.941391
2514.001465	-77.780556
2519.384766	-79.301064
2524.768066	-83.224976
2530.151367	-80.494110
2535.534668	-78.382271
2540.917969	-84.244217
2546.301270	-85.745483
2551.684570	-77.193687
2557.067871	-74.192192
2562.451172	-81.455833
2567.834473	-80.569160
2573.217773	-74.867256
2578.601074	-77.388863
2583.984375	-76.115379
2589.367676	-75.083916
2594.750977	-71.459358
2600.134277	-70.950455
2605.517578	-74.305267
2610.900879	-69.139122
2616.284180	-66.178009
2621.667480	-63.518581
2627.050781	-61.921158
2632.434082	-56.360592
2637.817383	-38.678448
2643.200684	-33.193779
2648.583984	-38.066818
2653.967285	-51.092747
2659.350586	-60.342548
2664.733887	-70.059448
2670.117188	-78.433525
2675.500488	-71.852577
2680.883789	-68.528084
2686.267090	-75.910362
2691.650391	-79.512779
2697.033691	-72.201324
2702.416992	-74.762459
2707.800293	-75.302826
2713.183594	-78.793701
2718.566895	-86.683182
2723.950195	-74.224289
2729.333496	-69.983276
2734.716797	-72.630760
2740.100098	-81.043320
2745.483398	-79.574829
2750.866699	-84.166397
2756.250000	-84.255859
2761.633301	-85.872116
2767.016602	-83.898163
2772.399902	-86.705856
2777.783203	-89.588341
2783.166504	-88.400803
2788.549805	-82.908501
2793.933105	-84.221909
2799.316406	-90.159203
2804.699707	-90.410767
2810.083008	-86.364914
2815.466309	-84.009285
2820.849609	-85.254059
2826.232910	-87.791153
2831.616211	-90.188446
2836.999512	-96.840729
2842.382812	-100.755348
2847.766113	-91.464737
2853.149414	-85.649963
2858.532715	-88.916580
2863.916016	-94.243317
2869.299316	-88.084770
2874.682617	-85.620728
2880.065918	-93.536888
2885.449219	-92.969803
2890.832520	-87.552956
2896.215820	-81.286430
2901.599121	-79.792725
2906.982422	-79.970390
2912.365723	-80.369186
2917.749023	-76.727608
2923.132324	-72.025146
2928.515625	-71.454346
2933.898926	-75.977432
2939.282227	-79.053200
2944.665527	-75.119232
2950.048828	-76.925911
2955.432129	-71.057426
2960.815430	-56.782646
2966.198730	-44.515884
2971.582031	-42.423016
2976.965332	-50.982201
2982.348633	-58.466423
2987.731934	-66.707253
2993.115234	-73.691551
2998.498535	-75.836685
3003.881836	-73.808319
3009.265137	-75.882294
3014.648438	-82.823532
3020.031738	-84.962311
3025.415039	-91.030975
3030.798340	-92.247299
3036.181641	-87.814270
3041.564941	-83.297272
3046.948242	-78.614716
3052.331543	-81.668419
3057.714844	-91.522491
3063.098145	-82.720627
3068.481445	-86.900993
3073.864746	-88.946526
3079.248047	-83.084389
3084.631348	-93.720032
3090.014648	-85.479095
3095.397949	-88.206322
3100.781250	-89.945107
3106.164551	-82.669952
3111.547852	-82.317535
3116.931152	-91.788544
3122.314453	-92.760147
3127.697754	-93.495285
3133.081055	-86.164719
3138.464355	-85.268623
3143.847656	-81.818542
3149.230957	-81.427841
3154.614258	-82.980957
3159.997559	-88.511452
3165.380859	-88.564590
3170.764160	-80.822617
3176.147461	-86.196823
3181.530762	-86.095367
3186.914062	-83.341827
3192.297363	-90.567429
3197.680664	-86.381027
3203.063965	-79.817421
3208.447266	-87.348557
3213.830566	-82.000168
3219.213867	-76.390587
3224.597168	-75.829826
3229.980469	-71.164368
3235.363770	-81.281212
3240.747070	-75.516846
3246.130371	-70.032600
3251.513672	-72.747536
3256.896973	-72.497826
3262.280273	-76.580444
3267.663574	-74.323669
3273.046875	-71.624184
3278.430176	-78.098457
3283.813477	-69.305222
3289.196777	-63.049858
3294.580078	-48.220085
3299.963379	-36.314396
3305.346680	-28.682461
3310.729980	-30.929712
3316.113281	-42.077946
3321.496582	-52.043190
3326.879883	-59.643406
3332.263184	-63.380627
3337.646484	-84.921165
3343.029785	-71.615479
3348.413086	-68.881676
3353.796387	-72.714149
